#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
196,Jeremy Peña,HOU,150,634,10,81,52,13,6.80%,20.30%,0.118,0.323,0.263,0.324,0.381,0.31,0.31,97,0.7,-1.7,7.9,2.8
197,Joey Meneses,WSN,154,657,13,71,89,0,5.80%,19.80%,0.126,0.329,0.275,0.321,0.401,0.314,0.288,97,-5.1,-7.8,-16.8,-0.2
198,Francisco Alvarez,NYM,123,423,25,51,63,2,8.00%,26.00%,0.228,0.222,0.209,0.284,0.437,0.31,0.305,97,-2.8,-4.5,20.2,3
199,Tyler O'Neill,STL,72,266,9,27,21,5,10.50%,25.20%,0.172,0.284,0.231,0.312,0.403,0.313,0.334,97,-0.2,-1.4,-1.2,0.6
200,Andrés Giménez,CLE,153,616,15,76,62,30,5.20%,18.20%,0.147,0.289,0.251,0.314,0.399,0.309,0.297,96,4.1,1.4,15.7,3.8
201,Alejandro Kirk,TOR,123,422,8,34,43,0,10.00%,10.70%,0.108,0.265,0.25,0.334,0.358,0.308,0.32,96,-6.7,-8.8,17.4,2.3
202,Carlos Correa,MIN,135,580,18,60,65,0,10.20%,22.60%,0.169,0.272,0.23,0.312,0.399,0.309,0.33,95,-2.9,-6.1,4.4,1.8
203,Michael A. Taylor,MIN,129,388,21,48,51,13,6.70%,33.50%,0.223,0.278,0.22,0.278,0.442,0.308,0.306,95,3,0.5,6.1,2
204,Garrett Cooper,2 Tms,123,457,17,42,61,0,6.80%,28.90%,0.168,0.324,0.251,0.304,0.419,0.313,0.318,94,-2.5,-5.8,-5.6,0.4
205,Keibert Ruiz,WSN,136,562,18,55,67,1,5.50%,10.30%,0.149,0.263,0.26,0.308,0.409,0.31,0.322,94,-5.5,-9.7,-14.3,-0.5
206,Willy Adames,MIL,149,638,24,73,80,5,11.10%,25.90%,0.19,0.259,0.217,0.31,0.407,0.311,0.335,94,-1,-5.8,17.4,3.3
207,Adam Frazier,BAL,141,455,13,59,60,11,7.00%,14.90%,0.155,0.258,0.24,0.3,0.396,0.302,0.301,93,1.4,-2.4,-8.9,0.4
208,Whit Merrifield,TOR,145,592,11,66,67,26,6.10%,17.10%,0.11,0.313,0.272,0.318,0.382,0.304,0.276,93,1.3,-3.8,-3.6,1.3
209,Edmundo Sosa,PHI,104,300,10,34,30,4,2.70%,24.70%,0.176,0.306,0.251,0.293,0.427,0.309,0.292,92,0.6,-2.2,2.7,1.1
210,Manuel Margot,TBR,99,336,4,39,38,9,5.40%,16.40%,0.113,0.306,0.264,0.31,0.376,0.299,0.301,92,-2.1,-5.2,-1,0.5
211,Hunter Renfroe,2 Tms,140,548,20,60,60,0,8.00%,22.80%,0.183,0.27,0.233,0.297,0.416,0.308,0.289,92,-1.6,-6.9,-8.3,0.4
